loan_grade,income_bin,total_loans,total_defaults,defaults_rate
G,150k - 200k,2,2,1
G,100k - 150k,14,14,1
G,200k+,1,1,1
G,< 25k,1,1,1
G,50k - 100k,26,26,1
G,25k - 50k,20,19,0.95
E,< 25k,58,53,0.91
F,25k - 50k,61,52,0.85
D,< 25k,299,237,0.79
E,25k - 50k,307,234,0.76
F,< 25k,17,12,0.71
F,50k - 100k,117,80,0.68
D,25k - 50k,1377,929,0.67
E,50k - 100k,442,268,0.61
F,150k - 200k,7,4,0.57
E,200k+,23,13,0.57
F,100k - 150k,30,17,0.57
F,200k+,9,5,0.56
D,50k - 100k,1501,796,0.53
B,< 25k,802,383,0.48
A,< 25k,730,344,0.47
C,< 25k,562,259,0.46
E,150k - 200k,24,11,0.46
D,100k - 150k,310,128,0.41
D,150k - 200k,68,27,0.4
E,100k - 150k,110,42,0.38
D,200k+,70,23,0.33
C,25k - 50k,2469,674,0.27
B,25k - 50k,3711,803,0.22
A,25k - 50k,3668,503,0.14
C,50k - 100k,2672,365,0.14
B,50k - 100k,4554,460,0.1
C,100k - 150k,535,35,0.07
B,200k+,150,8,0.05
B,150k - 200k,251,9,0.04
A,50k - 100k,4979,208,0.04
B,100k - 150k,983,38,0.04
C,200k+,97,3,0.03
C,150k - 200k,123,3,0.02
A,100k - 150k,1088,15,0.01
A,150k - 200k,214,2,0.01
A,200k+,97,1,0.01
